Org. Name,Primary Category,Sec. Category/Tags,Description,Area Served,Website,Phone,Email,Address,Eligibility Requirements,Cost/Fees,Org. Type,Source,Date Verified,Ver. Status,Notes
Lifeway Mobility (Multi-City),Home Safety,"Stair Lifts
Wheelchair Ramps
Wheelchair Lifts
Grab Bars & Poles
Bath & Shower Transfers",Provides home safety and accessibility solutions in Maryland to help people with limited mobility live safely and independently.,"Greater Baltimore
Harrisburg, PA
Lancaster, PA
York, PA
Eastern Shore",https://www.lifewaymobility.com/baltimore/,410-384-6908,https://www.lifewaymobility.com/baltimore/contact/,Service-area based,N/A,Varies,Commercial,https://www.lifewaymobility.com/baltimore/,8/25/2026,Verified,
Age In Place Maryland,Aging in Place,"Bathroom Safety
Grab Bars
Home Modifications
Handrails
Non-slip surface treatments",Professional Home Safety Assessments & Modifications by CAPS-Certified Specialists Serving Maryland Families.,"Anne Arundel County
Baltimore County
Howard County
Montgomery County
Prince George's County
",https://ageinplacemd.com/,443-420-5667,info@ageinplacemd.com,"Ellicott City, MD",N/A,Varies,Commercial,https://ageinplacemd.com/,9/1/2026,Verified,"CAPS
ADA Compliant"
Lynch Design Build,Home Safety,"Bathroom safety
Kitchen Remodeling","A family-owned custom home builder and remodeling firm based in Churchville, Maryland,","Baltimore
Cecil County
Howard County
Anne Arundel County
Harford County",https://lynchdesignbuild.com/,410-904-6511,info@lynchdesignbuild.com,"20 Carico Ln, 
Churchville, MD 21028",N/A,Varies,Commercial,https://lynchdesignbuild.com/,8/25/2026,Verified,
Taylor Made Custom Contracting,Home Safety,Aging in Place/VA,"An award-winning, family-owned residential remodeling and design-build firm based in Jarrettsville, Maryland, specializing in accessibility and aging-in-place modifications.","Harford
Baltimore
Howard
Cecil",https://taylormadecontracting.com,410-692-8550,info@taylormadecontracting.com,"1944 Nelson Mill Rd, 
Jarrettsville, MD 21084",N/A,Varies,Commercial,https://taylormadecontracting.com,8/25/2026,Verified,
Owings Brothers Contracting,Home Safety,Aging in Place Remodeling,"A family-owned, full-service design-build general contractor based in Sykesville, Maryland, providing home remodeling and custom building services for over 40 years.","Howard
Anne Arundel
Baltimore
Montgomery
Carroll
Frederick
Baltimore
Towson
Westminster",https://owingsbrothers.com,410-781-7022,contact@owingsbrothers.com,"5340 Enterprise St, 
Sykesville, MD 21784",N/A,Varies,Commercial,https://owingsbrothers.com,8/25/2026,Verified,
Home Safe Home MD,Home Safety,Aging in Place Remodeling,"A home modification and remodeling company based in Baltimore, Maryland, that specializes in aging-in-place services and fall prevention for older adults.",Baltimore,https://www.homesafehomeme.com,410-394-8955,info@homesafehomemd.com,"6 Farringdon Ct, 
Baltimore, MD 21209",N/A,Varies,Commercial,https://www.homesafehomeme.com,8/25/2026,Verified,
Living in Place Solutions,Home Safety,Aging in Place Solutions,"A Maryland-based company specializing in home safety assessments, senior accessibility, and aging-in-place modifications.",Baltimore,https://www.livinginplacesolutions.com,410-917-3544,marian@livinginplacesolutions.com,"10226 Harvest Fields Dr. 
Woodstock, Md. 21163",N/A,Varies,Commercial,https://www.livinginplacesolutions.com,8/25/2026,Verified,
Clarksville Construction Services,Home Safety,Aging in Place Solutions,A full-service home remodeling and improvement company in Maryland.,"Howard
Anne Arundel
Surrounding areas",https://clarksvilleconstruction.net/,443-348-0535,,"7380 Coca Cola Dr 
Suite 123, 
Hanover, MD 21076",N/A,Varies,Commercial,https://clarksvilleconstruction.net/,8/25/2026,Verified,
Design Build Remodeling Group of MD,Home Safety,Aging in Place Solutions,"A full-service residential design-build firm located in Eldersburg, Maryland, that specializes in large-scale home renovations and custom additions.","Annapolis
Baltimore
Catonsville
Cloverly
Columbia
Damascus
Elliocott City
Kemp Mill
N. Potomac
Owings Mills
Potomac
Reisterstown
Westminster
Bethesda
Clarksburg
Colesville
Crofton
Eldersburg
Ilchester
Milford Mill
Olney
Pikesville
Randallstown
Travilah",https://www.designbuildremodelinggroup.com/,(443) 323-0299,,"1299 Judges Ct,
Eldersburg, MD 21784",N/A,Varies,Commercial,https://www.designbuildremodelinggroup.com/,8/25/2026,Verified,
Green & Healthy Hiomes Initiative,Home Safety,Aging in Place Solutions,GHHI offers health and safety repairs to homeowners over the age of 55 in Baltimore City.,Baltimore,https://www.greenandhealthyhomes.org/,410-534-6447,,"2714 Hudson Street
Baltimore, MD 21224-4716","55 or Older
Baltimore City
Income Reqs",Free,Unknown/NR,https://www.greenandhealthyhomes.org/,8/25/2026,Verified,
Grabwise Home Safety Solutions,Home Safety,"Bathroom Safety
Grab Bar Install.
Stairlifts
Wood/Iron Railings
Wheelchair Ramps
Tub-cut Conversions
Doorway Widening","Provides professional, ADA‑compliant home safety and accessibility installations. ","Rockville
Bethesda
Potomac
Silver Spring
Montgomery County
Prince George’s County
Howard County
Frederick County
Northwest DC",https://grabwisehelps.com/,240-921-7744,support@grabwisehelps.com,"5465 Randolph Rd
Rockville, MD 20852",N/A,Varies,Commercial,https://grabwisehelps.com/,8/26/2026,Verified,ADA Compliant
Get-A-Grip Construction Services,Home Safety,"Grab Bar Install
Kitchen Updates
Stair Lifts
Access Ramps","From grab bar installations and barrier-free showers, to hand railings and widening doorways — and many more home safety adaptations.","Silver Spring
Bethesda
DMV",https://www.getagriphelps.com/,240-372-0770,,"8820 Monard Dr
Silver Spring, MD 20910",N/A,Varies,Commercial,https://www.getagriphelps.com/,8/26/2026,Verified,
Cliffbrook Construction,Home Safety,"Aging-in-Place
Kitchen/Bathroom Mods","Trusted home remodeling & additions, kitchens and bathrooms to whole-home renovations — we deliver precision craftsmanship with our proven 3-phase quality control process.","Ashton, MD
Bethesda, MD
Brookeville, MD
Cabin John, MD
Chevy Chase, MD
Clarksburg, MD
Damascus, MD
Darnestown, MD
Derwood, MD
Gaithersburg, MD
Germantown, MD
Kensington, MD
Laytonsville, MD
N. Potomac, MD
Olney, MD
Poolesville, MD
Potomac, MD
Rockville, MD
Silver Spring, MD
Tacoma Park, MD
Washington, MD",https://cliffbrookconstruction.com/,240-705-1650,cbconstructllc@outlook.com, Service-area based,N/A,Varies,Commercial,https://cliffbrookconstruction.com/,8/26/2026,Verified,
